inning,pitcher,season,hits_allowed,walks,strikeouts,batters_faced,runs_allowed,ERA_season,WHIP_season,FIP_season,K/9_season,BB/9_season,xFIP_season,CSW%_season,xERA_season,runs_rolling10_team,OBP_team,SLG_team,K_rate_team,BB_rate_team,is_home_team,label
1,656605,2023,3,2,6,9,2,4.21,1.25,3.8,9.73,2.55,3.7,0.283,4.18,0.4,0.4090909090909091,0.25,0.1818181818181818,0.25,True,0
1,605400,2023,4,0,8,9,1,4.46,1.15,4.03,9.39,2.09,3.63,0.296,3.71,0.3,0.3181818181818182,0.3055555555555556,0.3863636363636363,0.1590909090909091,False,0
1,680694,2023,3,2,4,9,0,2.83,1.04,3.27,8.96,2.35,3.53,0.291,3.77,0.4,0.2888888888888888,0.4878048780487805,0.2666666666666666,0.0666666666666666,False,0
1,608337,2023,4,5,5,9,5,4.88,1.31,5.27,9.96,3.56,4.45,0.288,4.61,0.4,0.3095238095238095,0.3428571428571428,0.2142857142857142,0.1666666666666666,False,0
1,434378,2023,3,1,8,9,0,3.22,1.13,3.85,7.98,2.49,4.56,0.259,3.63,0.0,0.225,0.2121212121212121,0.2,0.125,True,0
1,622491,2023,8,1,8,9,5,3.34,1.1,3.81,10.01,2.56,3.81,0.29,3.79,0.5,0.3333333333333333,0.4878048780487805,0.2,0.0888888888888888,False,1
1,458681,2023,5,3,6,10,2,5.73,1.39,5.53,9.36,3.28,4.5,0.265,4.86,0.4,0.2619047619047619,0.4210526315789473,0.3095238095238095,0.0714285714285714,False,1
1,605483,2023,4,3,7,9,0,2.25,1.19,3.44,11.7,4.95,3.62,0.308,3.77,0.3,0.2051282051282051,0.3888888888888889,0.3076923076923077,0.0512820512820512,True,1
1,657277,2023,9,1,7,10,1,3.25,1.07,3.16,8.08,1.29,2.95,0.293,3.63,1.0,0.4,0.55,0.12,0.14,False,1
1,676664,2023,6,2,7,9,2,4.54,1.26,5.15,8.41,2.77,5.1,0.255,4.64,0.4,0.2954545454545454,0.475,0.3636363636363636,0.0681818181818181,False,1
1,642547,2023,9,0,4,9,4,3.86,1.12,3.85,11.41,2.93,3.42,0.294,3.35,1.1,0.4509803921568627,0.75,0.2549019607843137,0.1176470588235294,True,1
1,502043,2023,5,2,4,9,1,4.73,1.32,4.13,7.36,2.58,4.13,0.272,4.8,0.2,0.3414634146341463,0.3333333333333333,0.1463414634146341,0.0975609756097561,True,1
1,579328,2023,9,0,7,10,3,3.86,1.27,4.12,9.72,2.58,3.77,0.2789999999999999,4.3,1.1,0.3695652173913043,0.675,0.3695652173913043,0.108695652173913,True,1
1,543475,2023,2,2,3,9,0,6.28,1.24,5.62,6.08,2.28,5.34,0.238,4.93,0.5,0.3181818181818182,0.4102564102564102,0.2272727272727272,0.1136363636363636,True,0
1,668678,2023,3,2,8,9,0,3.47,1.12,3.26,9.43,2.01,3.49,0.285,4.16,0.7,0.3859649122807017,0.3695652173913043,0.2631578947368421,0.1929824561403508,True,1
